Unit_ID,Layout_Row_ID,Weapon_ID,Row_Type,Row_Label,Sort_Order,Quantity
ADRAX_AGATONE,,DRAKKIS,,,,
ADRAX_AGATONE,,MALLEUS_NOCTUM,,,,
AETHON_SHAAN,,CAPTAIN_HEAVY_BOLT_PISTOL,,,,
AETHON_SHAAN,,CLAWS_OF_SEVERAX,,,,
AGGRESSORS,,FLAMESTORM_GAUNTLETS,,,,
AGGRESSORS,,TWIN_POWER_FISTS,,,,
AZRAEL,,LIONS_WRATH,,,,
AZRAEL,,THE_SWORD_OF_SECRETS,,,,
BALLISTUS,,BALLISTUS_LASCANNON,,,,
BALLISTUS,,BALLISTUS_MISSILE_LAUNCHER_FRAG,,,,
BALLISTUS,,BALLISTUS_MISSILE_LAUNCHER_KRAK,,,,
BALLISTUS,,TWIN_STORM_BOLTER,,,,
BALLISTUS,,ARMOURED_FEET,,,,
BELIAL,,MASTER_CRAFTED_STORM_BOLTER_BELIAL,,,,
BELIAL,,THE_SWORD_OF_SILENCE,,,,
BLADEGUARD_VETS,,HEAVY_BOLT_PISTOL,,,,
BLADEGUARD_VETS,,MASTER_CRAFTED_POWER_WEAPON_BLADEGUARD,,,,
BLADEGUARD_VETS,,PLASMA_PISTOL_STANDARD_TROOPS,,,,
BLADEGUARD_VETS,,PLASMA_PISTOL_SUPERCHARGE_TROOPS,,,,
BRUTALIS,,TWIN_MULTI_MELTA,,,,
BRUTALIS,,TWIN_IRONHAIL_HEAVY_STUBBER,,,,
BRUTALIS,,BRUTALIS_TALONS_STRIKE,,,,
BRUTALIS,,BRUTALIS_TALONS_SWEEP,,,,
CAANOK_VAR,,STORM_BOLTER_LEADERS,,,,
CAANOK_VAR,,AXIOM_STRIKE,,,,
CALLIDUS_ASSASSIN,,NEURAL_SHREDDER,,,,
CALLIDUS_ASSASSIN,,PHASE_SWORD_AND_POISON_BLADES,,,,
CAPTAIN_SWORD_SHIELD,,CAPTAIN_BOLT_PISTOL,,,,
CAPTAIN_SWORD_SHIELD,,CAPTAIN_MASTER_CRAFTED_BOLTER,,,,
CAPTAIN_SWORD_SHIELD,,CAPTAIN_CLOSE_COMBAT_WEAPON,,,,
CAPTAIN_SWORD_SHIELD,,CAPTAIN_HEAVY_BOLT_PISTOL,,,,
CAPTAIN_SWORD_SHIELD,,CAPTAIN_MASTER_CRAFTED_POWER_WEAPON,,,,
CAPTAIN_IN_GRAVIS_ARMOUR,,MASTER_CRAFTED_HEAVY_BOLT_RIFLE,,,,
CAPTAIN_IN_GRAVIS_ARMOUR,,MASTER_CRAFTED_POWER_WEAPON_CHAMPION,,,,
CAPTAIN_IN_PHOBOS_ARMOUR,,CAPTAIN_BOLT_PISTOL,,,,
CAPTAIN_IN_PHOBOS_ARMOUR,,PHOBOS_CAPTAIN_INSTIGATOR_BOLT_CARBINE,,,,
CAPTAIN_IN_PHOBOS_ARMOUR,,PHOBOS_CAPTAIN_COMBAT_KNIFE,,,,
