Entity_Type,Army,Alias_ID,Canonical_ID,Status
ability,marines,NEW_EXHORTATION_OF_RAGE,EXHORTATION_OF_RAGE,DEPRECATED
ability,marines,NEW_FINEST_HOUR,FINEST_HOUR,DEPRECATED
ability,marines,NEW_HAIL_OF_BOLTS,HAIL_OF_BOLTS,DEPRECATED
ability,marines,NEW_INTERCESSOR_SQUAD_LOADOUT,INTERCESSOR_SQUAD_LOADOUT,DEPRECATED
ability,marines,NEW_LAND_SPEEDER_WARGEAR_OPTIONS,LAND_SPEEDER_WARGEAR_OPTIONS,DEPRECATED
ability,marines,NEW_LEADER_CAPTAIN_WITH_RELIC_SHIELD,LEADER_CAPTAIN_WITH_RELIC_SHIELD,DEPRECATED
ability,marines,NEW_LEADER_CHAPLAIN_WITH_JUMP_PACK,LEADER_CHAPLAIN_WITH_JUMP_PACK,DEPRECATED
ability,marines,NEW_LEADER_LIBRARIAN,LEADER_LIBRARIAN,DEPRECATED
ability,marines,NEW_LITANY_OF_HATE,LITANY_OF_HATE,DEPRECATED
ability,marines,NEW_MENTAL_FORTRESS,MENTAL_FORTRESS,DEPRECATED
ability,marines,NEW_OBJECTIVE_SECURED,OBJECTIVE_SECURED,DEPRECATED
ability,marines,NEW_OVERLAPPING_DETONATIONS,OVERLAPPING_DETONATIONS,DEPRECATED
ability,marines,NEW_PSYCHIC_HOOD,PSYCHIC_HOOD,DEPRECATED
ability,marines,NEW_PURGATION_RUN,PURGATION_RUN,DEPRECATED
ability,marines,NEW_RELIC_BANNER,RELIC_BANNER,DEPRECATED
ability,marines,NEW_RELIC_SHIELD,RELIC_SHIELD,DEPRECATED
ability,marines,NEW_RITES_OF_BATTLE,RITES_OF_BATTLE,DEPRECATED
ability,marines,NEW_SUPPORT_ANCIENT,SUPPORT_ANCIENT,DEPRECATED
ability,marines,NEW_UNBREAKABLE_RESOLVE,UNBREAKABLE_RESOLVE,DEPRECATED
ability,marines,NEW_VANGUARD_ASSAULT,VANGUARD_ASSAULT,DEPRECATED
ability,marines,NEW_VANGUARD_VETERAN_SQUAD_WITH_JUMP_PACKS_LOADOUT,VANGUARD_VETERAN_SQUAD_WITH_JUMP_PACKS_LOADOUT,DEPRECATED
ability,orks,NEW_DA_BIGGEST_AND_DA_BEST,DA_BIGGEST_AND_DA_BEST,DEPRECATED
ability,orks,NEW_DA_JUMP_PSYCHIC,DA_JUMP_PSYCHIC,DEPRECATED
