Unit_ID,Option_Group_ID,Option_ID,Required_Group_ID,Compatible_Option_ID,Rule_Order,Option_Order
BOYZ,RANGED_NOB,NOB_KOMBI_SKORCHA,MELEE_NOB,NOB_KUSTOM_CHOPPA,1,1
BOYZ,RANGED_NOB,NOB_KOMBI_SKORCHA,MELEE_NOB,NOB_POWER_KLAW,1,2
BOYZ,RANGED_NOB,NOB_KOMBI_ROKKIT,MELEE_NOB,NOB_KUSTOM_CHOPPA,1,1
BOYZ,RANGED_NOB,NOB_KOMBI_ROKKIT,MELEE_NOB,NOB_POWER_KLAW,1,2
BOYZ,RANGED_NOB,NOB_KUSTOM_SHOOTA,MELEE_NOB,NOB_KUSTOM_CHOPPA,1,1
BOYZ,RANGED_NOB,NOB_KUSTOM_SHOOTA,MELEE_NOB,NOB_POWER_KLAW,1,2
BOYZ,RANGED_NOB,NOB_SLUGGA,MELEE_NOB,NOB_KUSTOM_CHOPPA,1,1
BOYZ,RANGED_NOB,NOB_SLUGGA,MELEE_NOB,NOB_POWER_KLAW,1,2
BOYZ,RANGED_NOB,NOB_SLUGGA,MELEE_NOB,NOB_BIG_CHOPPA,1,3
BOYZ,MELEE_NOB,NOB_BIG_CHOPPA,RANGED_NOB,NOB_SLUGGA,1,1
