Ability_ID,Ability Name,Short Description,Long Description
ARD_CASE,’Ard Case,12 Toughness (already included),"’Ard Case: Add 2 to the bearer’s Toughness characteristic, but it no longer has the Firing Deck ability."
ERE_WE_GO_AURA,’Ere We Go (Aura),"6"" ALL Beast Snagga units re-roll Charges","’Ere We Go (Aura): While a friendly BEAST SNAGGA unit is within 6"" of this model, you can re-roll Charge rolls made for that unit."
AMMO_RUNT,Ammo Runt,Once = Lethal Hits,"Ammo Runt: Once per battle, when this unit is selected to shoot, it can use this ability. If it does, until the end of the phase, ranged weapons equipped by models in this unit have the [LETHAL HITS] ability."
BEASTBOSS,Beastboss,LEADING = +1 To Hit,"Beastboss: While this model is leading a unit, each time a model in that unit makes a - attack, add 1 to the Hit roll."
BEASTBOSS_BEAST_SNAGGA,Beastboss (Beast Snagga),LEADING = +1 To Hit,"IF Lead by Beastboss: While this model is leading a unit, each time a model in that unit makes a - attack, add 1 to the Hit roll."
BEASTLY_RAGE,Beastly Rage,CHARGE = DEV WOUNDS,"Beastly Rage: Each time this model makes a Charge move, until the end of the turn, - weapons it is equipped with have the [DEVASTATING WOUNDS] ability."
BOMB_SQUIG,Bomb Squig,"Once per battle: after Normal move, D3 mortals to visible enemy within 12"" on 3+","Bomb Squig (Once per battle, per unit): In your Movement phase, when this unit ends a normal move, you can select one visible enemy unit within 12"" of this unit and roll one D6. On a 3+, that enemy unit suffers D3 mortal wounds. Place one Bomb Squig token next to the unit, removing it after this ability is used."
BOMB_SQUIGS,Bomb Squigs,Twice per battle = D3 Mortals,"‘Bomb Squigs: Once per battle, for each bomb squig this unit has, after this unit ends a Normal move, you can use one Bomb Squig. If you do, select one enemy unit within 12"" and visible to this unit and roll one D6: on a 3+, that enemy unit suffers D3 mortal wounds.’"
BREAKIN_HEADS,Breakin’ Heads,Warboss & Battle-shock,"Breakin’ Heads: While a WARBOSS model is leading this unit, in your Command phase, the first time a Battle-shock test is failed for this unit that phase, if it is within range of an objective marker, you can choose to break some heads. If you do, 1 Bodyguard model in this unit is destroyed and you can re-roll that test."
BREAKIN_HEADS_BIGBOSS,Breakin' Heads,This unit's melee weapons have [SUSTAINED HITS 1].,Breakin’ Heads: This unit’s melee weapons have [SUSTAINED HITS 1].
CLEAVE 1,CLEAVE 1,Add +1 melee attack per 5 target models,"CLEAVE 1: When determining this melee weapon’s number of attacks, add 1 for every five models in the target unit, rounding down."
CLOSE-QUARTERS,CLOSE-QUARTERS,Can shoot while engaged; must target engaged enemy,"CLOSE-QUARTERS: This weapon can be shot while the bearer’s unit is within Engagement Range, but must target one of those enemy units."
COMPOSITION_LOOTAS,Composition (Lootas),1 Spanners + 4 Lootas,1-2 Spanners 4-8 Lootas Every Spanner is equipped with: big shoota; close combat weapon. Every Loota is equipped with: deffgun; close combat weapon.
DA_BIGGER_DEY_IZ,Da Bigger Dey Iz...,Melee vs MONSTER/VEHICLE can re-roll wound rolls.,Da Bigger Dey Iz...: This unit's melee attacks that target a MONSTER/VEHICLE unit can re-roll wound rolls.
DA_BIGGEST_AND_DA_BEST,Da Biggest and da Best,WAAAGH! = +4 Attacks in -,"Da Biggest and da Best: When you call a Waaagh!, until the start of the next battle round, add 4 to the Attacks characteristic of this model’s - weapons."
NEW_DA_BIGGEST_AND_DA_BEST,Da Biggest and da Best,In Waaagh!  Melee +4 attacks,"Da Biggest and da Best: While the Waaagh! is active for this unit, this model’s melee weapons have +4 A."
DA_BOSS_LADZ,Da Boss’ Ladz,IF Led by Warboss: -1 To Wound this unit if higher than Toughness.,"IF Led by Warboss: Da Boss’ Ladz: While a WARBOSS model is leading this unit, each time an attack targets this unit, if the Strength characteristic of that attack is greater than the Toughness characteristic of this unit, subtract 1 from the Wound roll."
NEW_DA_JUMP_PSYCHIC,Da Jump,"Movement: 2-6 go to Strategic Reserves and gain Deep Strike. On a 1, D6 Mortals. ","Da Jump (Psychic, once per turn, per army): In your Movement phase, roll one D6. On a 1, this unit suffers D6 mortal wounds. On a 2-6, place this unit in Strategic Reserves and it gains Deep Strike until the end of the phase. This unit can then make an Ingress move, including during the first battle round."
DA_JUMP_PSYCHIC,Da Jump (Psychic),"End of Movement, Teleport unit on 2+","Da Jump (Psychic): Once per turn, at the end of your Movement phase, one WEIRDBOY from your army can use this ability. If it does, roll one D6: on a 1, that WEIRDBOY’s unit suffers D6 mortal wounds; on a 2+, remove this WEIRDBOY’s unit from the battlefield and set it up again anywhere on the battlefield that is more than 9"" horizontally away from all enemy models."
