Unit_ID,Layout_Row_ID,Weapon_ID,Row_Type,Row_Label,Sort_Order,Quantity
BANNERNOB,,SHOOTA_BANNERNOB,,,,
BANNERNOB,,KUSTOM_CHOPPA_BANNERNOB,,,,
BATTLEWAGON,,BIG_SHOOTA_X4,,,,
BATTLEWAGON,,CRUSHIN_BULK_BATTLEWAGON,,,,
BATTLEWAGON,,GRABBIN_KLAW,,,,
BATTLEWAGON,,WRECKIN_BALL,,,,
BEAST_SNAGGA_BOYZ,,HUNTER_CHOPPA,,,,
BEASTBOSS,,SHOOTA_BEASTBOSS,,,,
BEASTBOSS,,BEAST_SNAGGA_KLAW_BEASTCHOPPA,,,,
BEASTBOSS_ON_SQUIGOSAUR,,SLUGGA_SQUIGOSAUR,,,,
BEASTBOSS_ON_SQUIGOSAUR,,THUMP_GUN_SQUIGOSAUR,,,,
BEASTBOSS_ON_SQUIGOSAUR,,BEASTCHOPPA_STANDARD,,,,
BEASTBOSS_ON_SQUIGOSAUR,,BEASTCHOPPA_HUNTER,,,,
BEASTBOSS_ON_SQUIGOSAUR,,SQUIGOSAURS_JAWS,,,,
BIG_MEK_DAKKARIG,,BLITZKANNON,,,,
BIG_MEK_DAKKARIG,,MULTI_BUSTA_LAUNCHA_DAKKA,,,,
BIG_MEK_DAKKARIG,,STOMPY_FEET,,,,
BIG_MEK_WITH_SHOKK_ATTACK_GUN,,SHOKK_ATTACK_GUN,,,,
BIG_MEK_WITH_SHOKK_ATTACK_GUN,,BIG_MEKS_TOOLZ,,,,
BIGBOSS,,SLUGGA_BIGBOSS,,,,
BIGBOSS,,BIG_CHOPPA_BIGBOSS,,,,
BOSS_SNIKROT,,SLUGGA_SNIKROT,,,,
BOSS_SNIKROT,,MORKS_TEEF,,,,
BREAKA_BOYZ,,ROKKIT_PISTOL,,,,
BREAKA_BOYZ,,CHOPPA,,,,
BREAKA_BOYZ,,KNUCKLEBUSTAS,,,,
BREAKA_BOYZ,,SMASH_HAMMER_STANDARD,,,,
BREAKA_BOYZ,,SMASH_HAMMER_HUNTER,,,,
BREAKA_BOYZ,,TANKHAMMER,,,,
BURNA_BOYZ,,BURNA,,,,
BURNA_BOYZ,,CLOSE_COMBAT_WEAPON_BOYZ,,,,
BURNA_BOYZ,,CUTTIN_FLAMES,,,,
BURNA_BOYZ,,KUSTOM_MEGA_BLASTA,,,,
DEFFKILLA_WARTRIKE,,BOOMSLIKKA,,,,
DEFFKILLA_WARTRIKE,,SNAGGA_KLAW_R,,,,
DEFFKILLA_WARTRIKE,,KILLA_JET_BURNA,,,,
DEFFKILLA_WARTRIKE,,KILLA_JET_CUTTA,,,,
DEFFKILLA_WARTRIKE,,SNAGGA_KLAW_M,,,,
DEFFKOPTAS,,ROKKIT_LAUNCHA_BLASTA,,,,
DEFFKOPTAS,,ROKKIT_LAUNCHA_BUSTA,,,,
DEFFKOPTAS,,KUSTOM_MEGA_BLASTA,,,,
