Ability_ID,Ability Name,Short Description,Long Description
TIDE_OF_MUSCLE,Tide of Muscle,If charged this turn: melee attacks have [LETHAL HITS],"Tide of Muscle: In the Fight phase, if this unit made a charge move this turn, this unit’s melee attacks have [LETHAL HITS]."
NEVER_TOO_BUSY_TO_FIGHT,Never Too Busy to Fight,Engaged does not prevent starting an action,Never Too Busy to Fight: Being engaged does not prevent this unit from being eligible to start an action.
COMPOSITION_BOYZ,Unit Composition (Boyz),1-2 Nobs + 9-18 Boyz.,UNIT COMPOSITION • 1-2 Nob models • 9-18 Boy models  Every Nob is equipped with: 1 Kustom Choppa; 1 Kombi-skorcha. Every Boy is equipped with: 1 Choppa; 1 Shoota; 1 Slugga.
ARROGANT_INVULNERABILITY,Arrogant Invulnerability,Attacks targeting this unit have -1 AP,Arrogant Invulnerability: Attacks that target this unit have -1 AP
BIG_AN_SHOOTY,Big an’ Shooty,Ranged attacks can re-roll hit rolls of 1,Big an’ Shooty: This unit’s ranged attacks can re-roll hit rolls of 1.
BIG_AN_STOMPY,Big an’ Stompy,Melee attacks can re-roll hit rolls of 1,Big an’ Stompy: This unit’s melee attacks can re-roll hit rolls of 1.
COMPOSITION_DEFF_DREAD,Unit Composition (Deff Dread),"1 Deff Dread. Big Shoota, Dread Klaws, Skorcha.",UNIT COMPOSITION • 1 Deff Dread model  This model is equipped with: 1 Big Shoota; 1 Dread Klaws; 1 Skorcha.  WARGEAR OPTIONS • This model's Big Shoota can be replaced with one of the following:   ◦ 1 Extra Klaw   ◦ 1 Kustom Mega-blasta   ◦ 1 Rokkit Launcha • This model's Skorcha can be replaced with one of the following:   ◦ 1 Extra Klaw   ◦ 1 Big Shoota   ◦ 1 Kustom Mega-blasta   ◦ 1 Rokkit Launcha
COMPOSITION_GORKANAUT,Unit Composition (Gorkanaut),"1 Gorkanaut. Deffstorm, 2 Dual Big Shoota, Klaw of Gork, 2 Rokkit, Skorcha.",UNIT COMPOSITION • 1 Gorkanaut model  This model is equipped with: 1 Deffstorm mega-shoota; 2 Dual Big Shoota; 1 Klaw of Gork; 2 Rokkit Launcha; 1 Skorcha.
COMPOSITION_GUNWAGON,Unit Composition (Gunwagon),1 Gunwagon. Crushin’ Bulk + Kannon.,UNIT COMPOSITION • 1 Gunwagon model  This model is equipped with: 1 Crushin' Bulk; 1 Kannon.  WARGEAR OPTIONS • This model can be equipped with 1 Wreckin' Ball. • This model can be equipped with 1 Grabbin' Klaw. • This model can be equipped with 1 Lobba. • This model can be equipped with up to 4 Big Shootas. • This model's Kannon can be replaced with one of the following:   ◦ 1 Killkannon   ◦ 1 Zzap Gun.
COMPOSITION_HUNTA_RIG,Unit Composition (Hunta Rig),"1 Hunta Rig. Butcha Boyz, Eavy Lobba, horns, saws, Stikka Kannon.",UNIT COMPOSITION • 1 Hunta Rig model  This model is equipped with: 1 Butcha Boyz; 1 'Eavy Lobba; 1 Savage Horns and Hooves; 1 Saw Blades; 1 Stikka Kannon.
COMPOSITION_KILLA_KANS,Unit Composition (Killa Kans),3-6 Killa Kans. Kan Blasta + Kan Klaw.,UNIT COMPOSITION • 3-6 Killa Kan models  Every model is equipped with: 1 Kan Blasta; 1 Kan Klaw.
COMPOSITION_MEGANOBZ,Unit Composition (Meganobz),2-6 Meganobz. Default Kustom Shoota + Power Klaw.,UNIT COMPOSITION • 2-6 Meganob models  Every model is equipped with: 1 Kustom Shoota; 1 Power Klaw.  WARGEAR OPTIONS • Any number of models can each have their Power Klaw replaced with 1 Killsaw. • Any number of models can each have their Kustom Shoota replaced with 1 Kombi-weapon. • Any number of models can each have their Power Klaw and Kustom Shoota replaced with Twin Killsaws.
